from_stop_id,to_stop_id,transfer_type,min_transfer_time
4843807,3893387,2,81
4843807,3893385,2,18
4473608,4843454,2,26
4473607,4843814,2,45
4473663,4843813,2,26
4843408,3765301,2,82
4843804,1166827,2,217
4843827,4439479,2,21
4843405,3765264,2,79
4843804,1166826,2,217
3785914,4843454,2,69
3785914,4843455,2,56
4843454,2301,2,220
4843803,3887747,2,71
3785916,4843453,2,90
4843803,3887745,2,60
4843473,4439447,2,20
4843803,3887746,2,101
4378398,4843519,2,54
4843407,3893481,2,72
4843413,3813534,2,102
4843407,3893482,2,31
4843475,4677667,2,108
4843824,4677763,2,77
4843824,4677764,2,104
4843824,4677667,2,77
4843405,4798882,2,73
4843408,3893380,2,31
4378398,4843518,2,110
4473610,4843812,2,95
4843405,4798881,2,73
4843405,4798880,2,73
4843454,3781651,2,102
3785915,4843813,2,69
4843408,3893381,2,56
4767097,4843835,2,54
4843411,3893385,2,18
4843454,3781648,2,26
4843411,3893387,2,81
3785810,4843828,2,58
4843403,3887746,2,101
4843403,3887745,2,60
4843475,4439481,2,108
4378397,4843520,2,74
3785811,4843827,2,21
4843403,3887747,2,71
4439616,4843835,2,54
4843454,1871,2,220
4843403,3893477,2,60
3785914,4843813,2,69
4843403,3893478,2,101
4473664,4843453,2,98
4843805,3893482,2,31
4843406,3765300,2,79
4843805,3893481,2,72
3785808,4843528,2,119
4843404,3887745,2,36
4843473,4439469,2,20
4439552,4843835,2,41
4843404,3887746,2,63
4471738,4843408,2,31
4843475,4439471,2,130
4843526,4284923,2,55
4843475,4439470,2,31
4843526,4284924,2,43
4843469,4439468,2,42
4473664,4843442,2,95
4843475,4677694,2,130
4767079,4843835,2,41
4843475,4677693,2,108
4843824,4439449,2,104
4843405,3887747,2,94
4843453,3781650,2,98
4843453,3781651,2,97
4471740,4843807,2,48
4843803,3893478,2,101
4843803,3893477,2,60
4843403,4798881,2,67
4843403,4798880,2,67
4843403,4798882,2,67
4471821,4843475,2,130
4843528,4439452,2,119
4471821,4843474,2,104
4473609,4843455,2,26
4843835,4284924,2,43
4843835,4284923,2,55
4471835,4843806,2,50
4843804,3765264,2,79
4843468,4439468,2,32
4471739,4843410,2,50
