from_stop_id,to_stop_id,transfer_type,min_transfer_time
5221839,4378187,2,53
5221847,4377196,2,81
5221838,3759093,2,53
4373007,4377196,2,84
5221832,4378195,2,29
5221837,4364127,2,119
5221833,4378140,2,78
4373013,3732146,2,116
4376583,4373013,2,24
5221833,4378228,2,142
4373006,4377196,2,84
5221842,4378184,2,135
5221842,4378183,2,89
4373033,4377199,2,117
5221843,3759091,2,15
4373010,4377200,2,88
4373024,4378140,2,78
5221843,4378131,2,95
5221843,4378132,2,144
4373030,3732146,2,71
4373030,3732145,2,68
5221846,3759113,2,117
4439605,4373030,2,56
4373026,4378143,2,29
4376563,4373030,2,81
5221837,4378188,2,119
5221836,4378228,2,27
5221841,4378132,2,82
5221841,4378131,2,67
4373020,3759097,2,45
4373020,3759096,2,65
5221834,4378193,2,78
4373013,3732175,2,24
5221836,4378141,2,120
4439588,5221842,2,135
4439588,5221841,2,82
4439588,5221840,2,67
5221840,4378132,2,67
4373024,4364145,2,142
5221840,4378133,2,19
4439588,5221843,2,144
4373032,4377199,2,122
4373020,4364128,2,65
4373013,3732183,2,24
4373033,4377200,2,144
5221849,4378136,2,126
5221849,4378230,2,135
4373025,4378143,2,29
4373023,4378193,2,78
4373013,3732209,2,116
4376586,5221840,2,67
4376586,5221843,2,144
4376586,5221841,2,82
4376586,5221842,2,135
5221842,3759090,2,15
4439605,4373013,2,24
4373027,4378193,2,142
4376558,5221843,2,144
4376558,5221842,2,135
4373030,3732175,2,56
4373034,4377197,2,15
4376563,4373013,2,90
5221832,4378143,2,29
5221838,4378134,2,53
4373026,4378195,2,29
4376558,5221841,2,82
4376558,5221840,2,67
5221849,3759095,2,126
4439593,4373030,2,81
5221841,4378183,2,67
5221841,4378184,2,82
5221834,4378141,2,78
5221839,3759094,2,53
5221837,4378136,2,119
4373030,3732183,2,56
4439587,5221841,2,93
5221833,4364145,2,142
4439587,5221840,2,110
4439587,5221843,2,101
4439587,5221842,2,110
4373024,4378192,2,78
4376557,5221840,2,110
4376575,4373013,2,24
5221835,4378193,2,142
5221840,3759092,2,19
5221841,3759112,2,19
4373024,4378175,2,142
5221849,4364127,2,126
5221833,4378175,2,142
4376557,5221843,2,101
5221831,4378143,2,29
4376557,5221841,2,93
5221836,4378175,2,27
4376557,5221842,2,110
5221836,4364145,2,27
4373030,3732209,2,71
5221840,4378131,2,65
4373029,3759111,2,119
5221843,4378183,2,95
5221843,4378184,2,144
5221840,4378183,2,65
5221840,4378184,2,67
5221840,4378185,2,19
5221837,3759095,2,119
4373028,4364125,2,15
4373028,4364126,2,15
4373025,4378195,2,29
5221839,4378135,2,53
4439593,4373013,2,90
5221849,4378188,2,126
4373024,4378228,2,142
5221835,4378141,2,142
5221831,4378195,2,29
5221833,4378192,2,78
5221842,4378132,2,135
4373010,4377224,2,126
5221846,3759089,2,87
4373029,4378177,2,119
5221842,4378131,2,89
5221836,4378193,2,120
4376575,4373030,2,56
4376583,4373030,2,56
4373027,4378141,2,142
5221849,4378177,2,135
5221838,4378186,2,53
5221846,4377196,2,63
5221849,3759111,2,135
5221846,4377194,2,133
4373023,4378141,2,78
5221848,4377196,2,89
5221846,4377193,2,124
4373029,4378230,2,119
4373008,4377196,2,49
4373008,4377195,2,102
